Wall time,Step,Value
1551317588.21633,756,4.250610828399658
1551317588.8865378,765,4.2714667320251465
1551317588.953359,766,4.204075813293457
1551317589.1418548,769,4.270816802978516
1551317589.2036898,770,4.090702056884766
1551317589.333343,771,4.133429050445557
1551317589.4590068,773,4.2454328536987305
1551317589.5218387,774,4.15049409866333
1551317589.896836,780,4.2397332191467285
1551317590.222964,784,4.226808547973633
1551317590.2857957,785,4.073920726776123
1551317590.4144516,787,4.253520965576172
1551317590.5401156,789,4.170949935913086
1551317590.7934382,792,4.262789726257324
1551317590.855273,793,4.167264938354492
1551317590.918105,794,4.235480308532715
1551317590.9799397,795,4.290735244750977
1551317591.1684356,798,4.159447193145752
1551317591.4915714,802,4.211253643035889
1551317591.825678,807,4.0163092613220215
1551317591.88851,808,4.160860538482666
1551317591.9503448,809,4.095699310302734
1551317592.4310591,815,4.222804069519043
1551317592.8768668,821,4.174067497253418
1551317593.1271975,825,4.204197883605957
1551317593.3326483,828,4.118137836456299
1551317593.6647604,832,4.1491312980651855
1551317593.9210742,836,4.0931315422058105
1551317594.0457413,838,4.122058868408203
1551317594.444674,843,4.190904140472412
1551317594.6311755,846,4.193016052246094
1551317596.2149403,867,4.061656951904297
1551317596.3416018,869,4.05224084854126
1551317596.406428,870,4.159017562866211
1551317596.7544978,874,4.095716953277588
1551317596.9011056,876,4.0343852043151855
1551317597.1653988,880,4.162029266357422
1551317597.373841,882,4.088641166687012
1551317597.894449,890,4.051419258117676
1551317598.3532221,896,4.097971439361572
1551317598.6215045,900,4.055827617645264
1551317599.1480973,907,3.9635884761810303
1551317599.2378566,908,4.097276210784912
1551317599.304678,909,4.038567066192627
1551317599.3675096,910,4.070446014404297
1551317599.747494,915,4.0926833152771
1551317599.8721602,917,4.037487506866455
1551317600.0666404,920,3.9812331199645996
1551317600.1962934,921,4.14078950881958
1551317600.3219573,923,3.9896023273468018
1551317600.9233491,931,4.076539039611816
1551317600.986181,932,4.029909133911133
1551317601.1736798,935,4.050926685333252
1551317601.6883037,942,3.9841763973236084
1551317601.8767996,945,3.941807270050049
1551317602.529055,954,3.964813470840454
1551317602.6537218,956,4.048112869262695
1551317602.716554,957,4.03150749206543
1551317602.7793858,958,4.050518035888672
1551317603.0566442,961,3.969200849533081
1551317603.1194763,962,3.9487404823303223
1551317603.3708043,966,4.033597946166992
1551317603.75378,971,4.013054370880127
1551317603.8166122,972,4.0150299072265625
1551317604.0679398,976,4.011101245880127
1551317604.1307719,977,4.0433173179626465
1551317604.1936038,978,3.932757616043091
1551317604.2554386,979,3.982405424118042
1551317604.573588,983,3.946058750152588
1551317604.6364198,984,3.9776058197021484
1551317604.8259127,987,4.01495361328125
1551317604.8897424,988,4.007696151733398
1551317605.4652038,996,4.153316497802734
1551317605.7165315,1000,3.983142614364624
1551317605.907022,1002,4.025404453277588
1551317606.0326858,1004,3.925246000289917
1551317606.0955176,1005,4.033151626586914
1551317606.6051552,1012,3.9793097972869873
1551317606.6679869,1013,4.076076507568359
1551317606.7308187,1014,3.9856934547424316
1551317606.9183173,1017,3.935689926147461
1551317607.5177147,1025,3.963993787765503
1551317607.642381,1027,3.945385456085205
1551317607.9605303,1031,3.882643461227417
1551317608.0233626,1032,3.9613142013549805
1551317608.2338002,1035,3.9294464588165283
1551317608.3594637,1037,4.014619827270508
1551317608.8700979,1044,4.008636474609375
1551317609.6569939,1055,3.8785128593444824
1551317609.782658,1057,3.924363613128662
1551317610.2294629,1063,3.77864933013916
1551317610.292295,1064,3.8466434478759766
1551317610.432919,1066,4.017241954803467
1551317610.5605779,1068,3.8738250732421875
1551317610.8767319,1072,3.9574246406555176
1551317611.1300545,1076,3.913229465484619
1551317611.2726731,1078,3.883186101913452
1551317611.7144918,1083,3.8718292713165283
1551317611.7763264,1084,3.9295694828033447
1551317611.8391583,1085,3.866678476333618
1551317612.413622,1093,3.9396252632141113
1551317612.823526,1099,3.8607065677642822
1551317613.1426723,1103,3.9353713989257812
1551317613.204507,1104,3.821597099304199
1551317613.2673392,1105,3.8394534587860107
1551317613.9016435,1114,3.936688184738159
1551317614.0273066,1116,3.836682081222534
1551317614.2337549,1119,3.715317487716675
1551317614.682555,1125,3.8224244117736816
1551317614.7773013,1126,3.7605175971984863
1551317615.2849438,1133,3.7662224769592285
1551317615.411605,1135,3.7621994018554688
1551317616.831807,1155,3.9748892784118652
1551317616.8946388,1156,3.719742774963379
1551317617.1459668,1160,3.905219078063965
1551317617.2786121,1161,3.840733051300049
1551317617.341444,1162,3.861783027648926
1551317618.542233,1180,3.8438665866851807
1551317618.7955556,1183,3.7423810958862305
